Entry,Entry_name,Gene_name,Status,Accession,MCF7_1,MCF7_2,MCF7_3,Doxorubicin_1,Doxorubicin_2,Doxorubicin_3,P-value,P.adjust,log2FC
Q9HBL7,PLRKT_HUMAN,PLGRKT C9orf46 AD025 MDS030,reviewed,Q9HBL7,42.60204103,38.77980732,39.89967989,57.22164157,56.76761,54.64593852,0.000610376,0.002922181,0.475545785
Q5SYE7,NHSL1_HUMAN,NHSL1 C6orf63 KIAA1357,reviewed,Q5SYE7,1.253281165,1.052985584,0.945250764,1.073907559,0.992921439,0.920903156,0.447843946,0.479766514,-0.122062377
A0A087WTA8,A0A087WTA8_HUMAN,COL1A2,unreviewed,A0A087WTA8,55.12850696,10.37758587,10.5828817,4.975237407,5.190687767,5.056440477,0.305987617,0.337495943,-2.321494839
Q8N9B5,JMY_HUMAN,JMY,reviewed,Q8N9B5,8.442990332,8.594220577,8.936406336,8.67460852,8.807976946,8.245494,0.733518738,0.754735015,-0.013703179
Q9BRP1,PDD2L_HUMAN,PDCD2L,reviewed,Q9BRP1,28.82863967,30.77401987,28.60435399,43.83145687,46.20598104,44.2459859,0.000109751,0.001244326,0.60631595
Q9BVC4,LST8_HUMAN,MLST8 GBL LST8,reviewed,Q9BVC4,6.767718293,6.072733038,6.656023928,7.918064687,7.579809505,8.006741329,0.010314124,0.017818229,0.269730757
Q9UPU7,TBD2B_HUMAN,TBC1D2B KIAA1055,reviewed,Q9UPU7,8.293865738,8.325812487,8.655916495,14.29098477,14.87854586,14.69465839,2.57E-05,0.000627651,0.795298557
A0A2U3TZI9,A0A2U3TZI9_HUMAN,CEP78,unreviewed,A0A2U3TZI9,5.53347431,5.223634369,4.630887276,6.126081626,6.825189212,5.772698488,0.053723244,0.070280661,0.283080951
X6RHX1,X6RHX1_HUMAN,SCYL3,unreviewed,X6RHX1,8.455681787,8.390333663,8.563354848,9.0176178,9.379288666,9.118078163,0.011374616,0.019192808,0.1148569
Q9H9L4,KANL2_HUMAN,KANSL2 C12orf41 NSL2,reviewed,Q9H9L4,1.748247904,3.463496701,3.382707483,2.298482745,1.909464305,2.180039262,0.317648866,0.34926513,-0.428044447
Q9H098,F107B_HUMAN,FAM107B C10orf45,reviewed,Q9H098,3.448902853,3.688030392,3.197584188,1.708635011,1.594784588,1.745168327,0.003438366,0.008229792,-1.033519192
Q8N2G8,GHDC_HUMAN,GHDC D11LGP1E LGP1,reviewed,Q8N2G8,11.81891732,12.31838283,12.22935707,18.99373817,17.49680332,15.92252926,0.023634852,0.034710656,0.527310314
Q96PE7,MCEE_HUMAN,MCEE,reviewed,Q96PE7,40.71101426,35.1175854,37.45941827,15.72072438,14.58525215,15.65535365,0.003666015,0.008541021,-1.301502823
Q587I9,SFT2C_HUMAN,SFT2D3,reviewed,Q587I9,27.86726196,24.76064631,27.10373334,17.19534372,16.40306217,15.35975511,0.00193611,0.005759316,-0.703603006
K4DIA7,K4DIA7_HUMAN,CD151,unreviewed,K4DIA7,64.69786391,62.98815237,64.16485604,94.57118475,92.74191751,91.16372787,0.00012804,0.001338607,0.537571972
Q96LI5,CNO6L_HUMAN,CNOT6L CCR4B,reviewed,Q96LI5,4.584788061,4.715207506,5.121744498,4.949591853,5.273176625,5.292350854,0.14593674,0.171397761,0.105429549
Q5T7V8,GORAB_HUMAN,GORAB NTKLBP1 SCYL1BP1,reviewed,Q5T7V8,7.887739183,7.221209962,7.724690223,8.222605637,8.196948369,8.720157046,0.044583164,0.059734353,0.138807244
Q712K3,UB2R2_HUMAN,UBE2R2 CDC34B UBC3B,reviewed,Q712K3,25.34800818,28.3609279,27.69556691,38.40101089,43.43496644,41.40369221,0.002590073,0.006924905,0.598286213
Q5VT06,CE350_HUMAN,CEP350 CAP350 KIAA0480 GM133,reviewed,Q5VT06,9.918371957,10.17369895,9.539459495,9.39909541,9.944490101,9.06975917,0.272730163,0.304100994,-0.060564472
Q96HR9,REEP6_HUMAN,REEP6 C19orf32 DP1L1,reviewed,Q96HR9-2,41.74219497,39.33985113,40.03992481,23.32142534,24.71305082,23.32101974,0.00012209,0.001316842,-0.763364129
Q7L523,RRAGA_HUMAN,RRAGA,reviewed,Q7L523,16.88915353,16.43999552,17.21646644,22.34368861,22.95023338,23.57114159,0.000358258,0.002160411,0.446186312
Q9NZ71,RTEL1_HUMAN,RTEL1 C20orf41 KIAA1088 NHL,reviewed,Q9NZ71,15.40425331,15.3741057,14.49571499,18.01279574,18.16893476,15.90831779,0.073371596,0.092369599,0.202322641
Q12772,SRBP2_HUMAN,SREBF2 BHLHD2 SREBP2,reviewed,Q12772,2.560501014,2.583427867,2.330870579,1.378448508,1.139568297,1.230713168,0.000347827,0.002134018,-0.995632964
Q9H1E5,TMX4_HUMAN,TMX4 KIAA1162 TXNDC13 PSEC0095 UNQ475/PRO938,reviewed,Q9H1E5,16.78762189,15.47992043,16.02438462,13.63702315,12.6941187,12.90401336,0.004008532,0.00903405,-0.299635123
P80188,NGAL_HUMAN,LCN2 HNL NGAL,reviewed,P80188,3.207765211,3.045399484,2.852581684,2.109346787,2.056111164,2.046451458,0.009192302,0.016208801,-0.551740486
Q9HCG7,GBA2_HUMAN,GBA2 KIAA1605 SPG46 AD035,reviewed,Q9HCG7,8.490583288,7.280569444,7.18334483,7.360273896,7.292626074,6.872666146,0.378278061,0.410056802,-0.092725673
Q04727,TLE4_HUMAN,TLE4 GRG4 KIAA1261,reviewed,Q04727,3.924832409,3.615766675,3.61831895,3.97185512,4.264979472,4.169644846,0.037603194,0.051676904,0.152896632
A0A3B3ITN8,A0A3B3ITN8_HUMAN,GPRC5A,unreviewed,A0A3B3ITN8,13.40534917,13.64235735,15.02023099,33.4161564,32.90694405,35.69352418,0.000165293,0.001495696,1.27801128
Q13421,MSLN_HUMAN,MSLN MPF,reviewed,Q13421,18.03455733,17.25038148,19.09294348,72.28840433,69.4831147,67.21456122,0.000217151,0.001664688,1.94231498
Q6PJF5,RHDF2_HUMAN,RHBDF2 IRHOM2 RHBDL5 RHBDL6,reviewed,Q6PJF5,12.37099561,13.34555994,12.62204285,6.834540046,7.197916644,7.031834593,0.000947001,0.003747505,-0.863998218
Q9P000,COMD9_HUMAN,COMMD9 HSPC166,reviewed,Q9P000,1.716519267,2.284049613,2.120503198,2.176666365,2.902385744,2.592171847,0.13103133,0.155636079,0.325672424
Q9H019,MFR1L_HUMAN,MTFR1L FAM54B HYST1888 MSTP116,reviewed,Q9H019,33.0485484,29.37261994,32.09645251,22.00388503,21.87176794,22.63886925,0.01089794,0.018562162,-0.506913954
P0C1Z6,TFPT_HUMAN,TFPT INO80F,reviewed,P0C1Z6,8.753930976,8.284518935,9.009333695,6.93712226,6.956560356,7.688404436,0.010835033,0.018479366,-0.271326235
P06401,PRGR_HUMAN,PGR NR3C3,reviewed,P06401,11.40009931,11.25507385,11.31496019,6.475502295,6.186664348,6.716339993,0.000469448,0.002488429,-0.809809485
Q71RG4,TMUB2_HUMAN,TMUB2 FP2653 UNQ1897/PRO4343,reviewed,Q71RG4,6.364764602,5.639150739,5.977238513,6.347274527,6.287484064,6.469060442,0.211243981,0.239993711,0.087375473
